id_pelanggan,kota_kabupaten_pelanggan,provinsi_pelanggan
CUST000001,Medan,Sumatera Utara
CUST000002,Sungai Penuh,Jambi
CUST000003,Dumai,Riau
CUST000004,Tanjungbalai,Sumatera Utara
CUST000005,Pangkalpinang,Kepulauan Bangka Belitung
CUST000006,Karimun,Kepulauan Riau
CUST000007,Banda Aceh,Aceh
CUST000008,Binjai,Sumatera Utara
CUST000009,Indragiri Hulu,Riau
CUST000010,Tanjungpinang,Kepulauan Riau
CUST000011,Bangka,Kepulauan Bangka Belitung
CUST000012,Bangka Selatan,Kepulauan Bangka Belitung
CUST000013,Indragiri Hilir,Riau
CUST000014,Bintan,Kepulauan Riau
CUST000015,Langsa,Aceh
CUST000016,Bengkulu Selatan,Bengkulu
CUST000017,Sungai Penuh,Jambi
CUST000018,Pelalawan,Riau
CUST000019,Palembang,Sumatera Selatan
CUST000020,Pematangsiantar,Sumatera Utara
CUST000021,Padangsidimpuan,Sumatera Utara
CUST000022,Lahat,Sumatera Selatan
CUST000023,Muaro Jambi,Jambi
CUST000024,Sabang,Aceh
CUST000025,Pangkalpinang,Kepulauan Bangka Belitung
CUST000026,Bengkulu,Bengkulu
CUST000027,Bangka Barat,Kepulauan Bangka Belitung
CUST000028,Bintan,Kepulauan Riau
CUST000029,Batam,Kepulauan Riau
CUST000030,Medan,Sumatera Utara
CUST000031,Pelalawan,Riau
CUST000032,Jambi,Jambi
CUST000033,Pelalawan,Riau
CUST000034,Pematangsiantar,Sumatera Utara
CUST000035,Bungo,Jambi
CUST000036,Lubuklinggau,Sumatera Selatan
CUST000037,Pagar Alam,Sumatera Selatan
CUST000038,Kampar,Riau
CUST000039,Merangin,Jambi
CUST000040,Sibolga,Sumatera Utara
CUST000041,Sawahlunto,Sumatera Barat
CUST000042,Dumai,Riau
CUST000043,Lampung Selatan,Lampung
CUST000044,Merangin,Jambi
CUST000045,Bangka,Kepulauan Bangka Belitung
CUST000046,Ogan Komering Ilir,Sumatera Selatan
CUST000047,Langsa,Aceh
CUST000048,Lhokseumawe,Aceh
CUST000049,Bengkulu Selatan,Bengkulu
CUST000050,Binjai,Sumatera Utara
CUST000051,Natuna,Kepulauan Riau
CUST000052,Lubuklinggau,Sumatera Selatan
CUST000053,Lampung Selatan,Lampung
CUST000054,Metro,Lampung
CUST000055,Sungai Penuh,Jambi
CUST000056,Kampar,Riau
CUST000057,Bangka Tengah,Kepulauan Bangka Belitung
CUST000058,Merangin,Jambi
CUST000059,Karimun,Kepulauan Riau
CUST000060,Karimun,Kepulauan Riau
CUST000061,Lubuklinggau,Sumatera Selatan
CUST000062,Sawahlunto,Sumatera Barat
CUST000063,Bandar Lampung,Lampung
CUST000064,Banda Aceh,Aceh
CUST000065,Solok,Sumatera Barat
CUST000066,Pariaman,Sumatera Barat
CUST000067,Bengkulu Utara,Bengkulu
CUST000068,Pematangsiantar,Sumatera Utara
CUST000069,Bengkulu Utara,Bengkulu
CUST000070,Lampung Tengah,Lampung
CUST000071,Kerinci,Jambi
CUST000072,Banda Aceh,Aceh
CUST000073,Belitung Timur,Kepulauan Bangka Belitung
CUST000074,Muaro Jambi,Jambi
CUST000075,Palembang,Sumatera Selatan
CUST000076,Bungo,Jambi
CUST000077,Payakumbuh,Sumatera Barat
CUST000078,Lhokseumawe,Aceh
CUST000079,Belitung Timur,Kepulauan Bangka Belitung
CUST000080,Sawahlunto,Sumatera Barat
CUST000081,Tebing Tinggi,Sumatera Utara
CUST000082,Muaro Jambi,Jambi
CUST000083,Bangka Tengah,Kepulauan Bangka Belitung
CUST000084,Dumai,Riau
CUST000085,Ogan Komering Ilir,Sumatera Selatan
CUST000086,Sawahlunto,Sumatera Barat
CUST000087,Pangkalpinang,Kepulauan Bangka Belitung
CUST000088,Bintan,Kepulauan Riau
CUST000089,Bandar Lampung,Lampung
CUST000090,Padangsidimpuan,Sumatera Utara
CUST000091,Sungai Penuh,Jambi
CUST000092,Langsa,Aceh
CUST000093,Tanjungpinang,Kepulauan Riau
CUST000094,Tanjungbalai,Sumatera Utara
CUST000095,Lampung Utara,Lampung
CUST000096,Tebing Tinggi,Sumatera Utara
CUST000097,Belitung Timur,Kepulauan Bangka Belitung
CUST000098,Bukittinggi,Sumatera Barat
CUST000099,Lampung Tengah,Lampung
CUST000100,Padangpanjang,Sumatera Barat
CUST000101,Belitung Timur,Kepulauan Bangka Belitung
CUST000102,Karimun,Kepulauan Riau
CUST000103,Indragiri Hulu,Riau
CUST000104,Kampar,Riau
CUST000105,Bungo,Jambi
CUST000106,Prabumulih,Sumatera Selatan
CUST000107,Bangka Selatan,Kepulauan Bangka Belitung
CUST000108,Binjai,Sumatera Utara
CUST000109,Pekanbaru,Riau
CUST000110,Palembang,Sumatera Selatan
CUST000111,Lingga,Kepulauan Riau
CUST000112,Indragiri Hulu,Riau
CUST000113,Pekanbaru,Riau
CUST000114,Tanjungbalai,Sumatera Utara
CUST000115,Langsa,Aceh
CUST000116,Medan,Sumatera Utara
CUST000117,Palembang,Sumatera Selatan
CUST000118,Bangka,Kepulauan Bangka Belitung
CUST000119,Merangin,Jambi
CUST000120,Metro,Lampung
CUST000121,Bangka,Kepulauan Bangka Belitung
CUST000122,Lingga,Kepulauan Riau
CUST000123,Metro,Lampung
CUST000124,Lampung Utara,Lampung
