id_order,id_produk,harga,jumlah,total_item
ORD00000001,PROD001973,404000.0,1,404000.0
ORD00000001,PROD001120,846000.0,1,846000.0
ORD00000001,PROD000541,562000.0,1,562000.0
ORD00000002,PROD000238,3412000.0,3,10236000.0
ORD00000002,PROD000650,4652000.0,1,4652000.0
ORD00000002,PROD001179,1985000.0,2,3970000.0
ORD00000002,PROD001015,4655000.0,2,9310000.0
ORD00000003,PROD000931,1849000.0,2,3698000.0
ORD00000003,PROD001785,1360000.0,2,2720000.0
ORD00000003,PROD001546,2193000.0,2,4386000.0
ORD00000003,PROD000230,4944000.0,3,14832000.0
ORD00000003,PROD000486,3651000.0,2,7302000.0
ORD00000004,PROD000044,797000.0,3,2391000.0
ORD00000004,PROD001651,3525000.0,3,10575000.0
ORD00000005,PROD001210,4899000.0,3,14697000.0
ORD00000005,PROD001011,4312000.0,1,4312000.0
ORD00000006,PROD000029,1229000.0,2,2458000.0
ORD00000006,PROD001240,4243000.0,1,4243000.0
ORD00000006,PROD000396,1901000.0,3,5703000.0
ORD00000006,PROD001789,4024000.0,2,8048000.0
ORD00000007,PROD001987,1971000.0,1,1971000.0
ORD00000007,PROD000139,753000.0,3,2259000.0
ORD00000008,PROD000015,682000.0,2,1364000.0
ORD00000008,PROD000116,1636000.0,3,4908000.0
ORD00000009,PROD001721,784000.0,3,2352000.0
ORD00000009,PROD000989,1643000.0,3,4929000.0
ORD00000010,PROD000310,609000.0,3,1827000.0
ORD00000010,PROD000834,4778000.0,1,4778000.0
ORD00000010,PROD001016,2740000.0,2,5480000.0
ORD00000010,PROD000029,1229000.0,2,2458000.0
ORD00000011,PROD000626,4813000.0,2,9626000.0
ORD00000011,PROD000441,3649000.0,1,3649000.0
ORD00000012,PROD001218,1286000.0,2,2572000.0
ORD00000013,PROD001195,3104000.0,1,3104000.0
ORD00000013,PROD001239,403000.0,2,806000.0
ORD00000013,PROD000499,95000.0,1,95000.0
ORD00000013,PROD001978,2727000.0,1,2727000.0
ORD00000013,PROD001261,447000.0,2,894000.0
ORD00000014,PROD001160,685000.0,1,685000.0
ORD00000014,PROD001342,3825000.0,2,7650000.0
ORD00000014,PROD000052,3156000.0,2,6312000.0
ORD00000014,PROD001523,773000.0,2,1546000.0
ORD00000015,PROD000502,1909000.0,2,3818000.0
ORD00000015,PROD001556,668000.0,2,1336000.0
ORD00000015,PROD000377,4597000.0,2,9194000.0
ORD00000016,PROD001955,984000.0,3,2952000.0
ORD00000016,PROD001361,4952000.0,3,14856000.0
ORD00000017,PROD000862,4879000.0,3,14637000.0
