id_order,id_pelanggan,metode_pembayaran,banyak_cicilan,total_pembayaran,status_order,timestamp_pembelian,timestamp_persetujuan_toko,timestamp_pengiriman_ke_pelanggan,estimasi_sampai
ORD00000001,CUST005485,Dompet Digital,0,1812000.0,Selesai,2025-02-19 09:22:44,2025-02-19 12:09:44,2025-02-22 12:09:44,2025-02-26
ORD00000002,CUST002201,Dompet Digital,0,28168000.0,Selesai,2025-02-05 09:22:44,2025-02-05 09:53:44,2025-02-08 09:53:44,2025-02-14
ORD00000003,CUST000059,Cicilan,6,32938000.0,Dibatalkan,2025-03-08 09:22:44,2025-03-08 10:11:44,,
ORD00000004,CUST008809,COD,0,12966000.0,Selesai,2025-01-08 09:22:44,2025-01-08 10:01:44,2025-01-12 10:01:44,2025-01-13
ORD00000005,CUST001964,Transfer Bank,0,19009000.0,Selesai,2024-07-14 09:22:44,2024-07-14 11:05:44,2024-07-17 11:05:44,2024-07-24
ORD00000006,CUST008389,Dompet Digital,0,20452000.0,Selesai,2024-09-11 09:22:44,2024-09-11 10:26:44,2024-09-13 10:26:44,2024-09-17
ORD00000007,CUST003053,Dompet Digital,0,4230000.0,Selesai,2025-02-24 09:22:44,2025-02-24 09:59:44,2025-02-28 09:59:44,2025-03-02
ORD00000008,CUST003812,Dompet Digital,0,6272000.0,Selesai,2024-07-03 09:22:44,2024-07-03 12:03:44,2024-07-04 12:03:44,2024-07-10
ORD00000009,CUST004459,Dompet Digital,0,7281000.0,Selesai,2024-07-11 09:22:44,2024-07-11 11:51:44,2024-07-13 11:51:44,2024-07-15
ORD00000010,CUST002363,Cicilan,12,14543000.0,Selesai,2024-10-09 09:22:44,2024-10-09 11:46:44,2024-10-13 11:46:44,2024-10-14
ORD00000011,CUST003506,Cicilan,12,13275000.0,Selesai,2024-08-17 09:22:44,2024-08-17 11:14:44,2024-08-18 11:14:44,2024-08-19
ORD00000012,CUST006544,Kartu Kredit,0,2572000.0,Selesai,2025-01-05 09:22:44,2025-01-05 12:14:44,2025-01-07 12:14:44,2025-01-08
ORD00000013,CUST006785,Kartu Kredit,0,7626000.0,Selesai,2024-07-29 09:22:44,2024-07-29 09:44:44,2024-08-03 09:44:44,2024-08-06
ORD00000014,CUST007397,Kartu Kredit,0,16193000.0,Selesai,2024-08-16 09:22:44,2024-08-16 10:08:44,2024-08-17 10:08:44,2024-08-18
ORD00000015,CUST009331,Transfer Bank,0,14348000.0,Selesai,2024-08-14 09:22:44,2024-08-14 11:47:44,2024-08-15 11:47:44,2024-08-19
ORD00000016,CUST000253,Cicilan,6,17808000.0,Selesai,2024-08-02 09:22:44,2024-08-02 10:54:44,2024-08-04 10:54:44,2024-08-06
ORD00000017,CUST007309,Transfer Bank,0,14761000.0,Selesai,2025-01-18 09:22:44,2025-01-18 10:13:44,2025-01-22 10:13:44,2025-01-27
ORD00000018,CUST009875,Kartu Kredit,0,37233000.0,Selesai,2024-10-21 09:22:44,2024-10-21 11:49:44,2024-10-22 11:49:44,2024-10-28
ORD00000019,CUST001490,Dompet Digital,0,28067000.0,Selesai,2024-08-16 09:22:44,2024-08-16 11:17:44,2024-08-21 11:17:44,2024-08-25
ORD00000020,CUST007182,Transfer Bank,0,23919000.0,Selesai,2025-04-22 09:22:44,2025-04-22 11:49:44,2025-04-23 11:49:44,2025-04-28
ORD00000021,CUST003234,Dompet Digital,0,18441000.0,Selesai,2024-11-03 09:22:44,2024-11-03 10:25:44,2024-11-06 10:25:44,2024-11-11
ORD00000022,CUST001081,Kartu Kredit,0,10095000.0,Selesai,2024-08-14 09:22:44,2024-08-14 10:18:44,2024-08-18 10:18:44,2024-08-24
ORD00000023,CUST007430,Transfer Bank,0,29645000.0,Selesai,2024-09-20 09:22:44,2024-09-20 11:58:44,2024-09-21 11:58:44,2024-09-26
