id_pelanggan,id_produk,nilai_rating_produk,tanggal_review
CUST005485,PROD001973,5,2025-03-05
CUST005485,PROD001120,1,2025-02-26
CUST005485,PROD000541,4,2025-02-26
CUST002201,PROD000238,5,2025-02-12
CUST002201,PROD001179,4,2025-02-09
CUST002201,PROD001015,5,2025-02-21
CUST001964,PROD001210,5,2024-07-19
CUST001964,PROD001011,3,2024-07-25
CUST008389,PROD000029,1,2024-09-25
CUST008389,PROD001240,3,2024-09-15
CUST003812,PROD000015,1,2024-07-06
CUST003812,PROD000116,5,2024-07-16
CUST004459,PROD001721,5,2024-07-14
CUST004459,PROD000989,2,2024-07-15
CUST002363,PROD000310,5,2024-10-18
CUST002363,PROD000834,1,2024-10-19
CUST002363,PROD001016,3,2024-10-16
CUST003506,PROD000626,4,2024-08-20
CUST003506,PROD000441,5,2024-08-21
CUST006544,PROD001218,4,2025-01-11
CUST006785,PROD001195,4,2024-08-11
CUST006785,PROD001239,4,2024-08-05
CUST006785,PROD000499,5,2024-08-16
CUST006785,PROD001978,2,2024-08-11
CUST006785,PROD001261,1,2024-08-16
CUST007397,PROD001160,1,2024-08-25
CUST007397,PROD001342,1,2024-08-20
CUST007397,PROD000052,3,2024-08-29
CUST007397,PROD001523,1,2024-08-25
CUST009331,PROD000502,2,2024-08-18
CUST009331,PROD001556,2,2024-08-28
CUST009331,PROD000377,4,2024-08-26
CUST000253,PROD001361,3,2024-08-09
CUST007309,PROD000862,1,2025-01-28
CUST007309,PROD000461,4,2025-01-24
CUST009875,PROD001695,3,2024-10-31
CUST009875,PROD000230,1,2024-10-24
CUST009875,PROD001178,5,2024-10-31
CUST001490,PROD001813,4,2024-08-30
CUST001490,PROD001621,2,2024-08-24
CUST001490,PROD001860,3,2024-08-26
CUST001490,PROD000935,2,2024-09-02
CUST007182,PROD000268,1,2025-04-24
CUST007182,PROD000827,5,2025-05-06
CUST007182,PROD001912,2,2025-05-05
CUST003234,PROD000920,2,2024-11-08
CUST003234,PROD001176,4,2024-11-11
CUST003234,PROD000384,2,2024-11-07
CUST001081,PROD001849,2,2024-08-22
CUST001081,PROD000005,5,2024-08-27
CUST001081,PROD000772,4,2024-08-30
CUST007430,PROD000249,1,2024-10-04
CUST007430,PROD001742,2,2024-10-04
CUST007430,PROD001681,2,2024-09-29
CUST007484,PROD000092,3,2025-04-01
CUST007484,PROD001775,4,2025-03-24
CUST007484,PROD000502,5,2025-03-29
CUST001352,PROD001323,5,2024-07-16
CUST001352,PROD000388,1,2024-07-24
CUST001352,PROD000141,2,2024-07-23
CUST004551,PROD001244,3,2024-12-29
CUST004551,PROD001768,1,2024-12-22
CUST004551,PROD000196,1,2024-12-24
CUST004551,PROD001660,1,2024-12-28
CUST004551,PROD001411,2,2024-12-22
CUST005321,PROD000843,3,2024-08-04
CUST005321,PROD000931,2,2024-08-02
CUST002895,PROD000235,2,2025-04-22
CUST002895,PROD000449,1,2025-04-19
CUST002895,PROD000111,5,2025-04-16
CUST002895,PROD000294,2,2025-04-14
CUST006132,PROD000640,2,2024-06-04
CUST004913,PROD000750,2,2024-12-17
CUST005065,PROD001096,1,2025-02-05
CUST005065,PROD001535,2,2025-02-07
CUST007241,PROD001357,2,2024-12-31
CUST007241,PROD000741,5,2024-12-22
CUST004970,PROD000630,4,2025-02-12
CUST002471,PROD000336,2,2024-07-21
CUST002471,PROD000036,3,2024-07-13
CUST002471,PROD001317,5,2024-07-10
CUST008079,PROD001756,2,2024-09-08
CUST005528,PROD001059,5,2025-05-12
CUST005528,PROD000048,1,2025-05-19
CUST005528,PROD000090,3,2025-05-19
CUST005528,PROD000637,1,2025-05-10
CUST003056,PROD001524,2,2024-10-09
CUST003056,PROD001018,5,2024-10-07
CUST003056,PROD000415,2,2024-10-07
CUST003056,PROD000216,5,2024-10-09
CUST007780,PROD001685,4,2024-07-29
CUST007780,PROD000094,4,2024-07-31
CUST007780,PROD001811,5,2024-07-26
CUST007780,PROD001539,1,2024-07-25
CUST007780,PROD001192,4,2024-07-31
CUST008584,PROD000698,1,2024-11-09
CUST008584,PROD001144,4,2024-11-20
CUST008584,PROD001071,4,2024-11-09
CUST009810,PROD001132,5,2024-07-05
CUST007701,PROD000515,5,2024-08-12
CUST007701,PROD000406,1,2024-08-14
CUST007701,PROD000917,1,2024-08-12
CUST007701,PROD000373,5,2024-08-21
CUST006003,PROD001371,2,2024-12-05
CUST006003,PROD000333,4,2024-11-23
CUST009871,PROD001398,5,2025-05-10
CUST009871,PROD001414,3,2025-05-17
CUST002328,PROD001687,4,2024-07-07
CUST002328,PROD001901,1,2024-07-12
CUST002328,PROD001928,2,2024-07-11
CUST004622,PROD001110,1,2024-09-15
CUST004622,PROD001513,1,2024-09-24
CUST000254,PROD000773,5,2024-11-12
CUST006360,PROD001767,1,2025-05-26
CUST006360,PROD000192,1,2025-05-31
CUST006360,PROD000862,4,2025-05-20
CUST006360,PROD001036,1,2025-05-31
CUST005244,PROD000281,4,2025-01-30
CUST005399,PROD001038,2,2024-07-17
CUST005399,PROD000771,5,2024-07-23
CUST005399,PROD000946,1,2024-07-19
CUST005399,PROD000315,3,2024-07-19
CUST004591,PROD000209,5,2024-12-28
CUST004591,PROD000950,3,2025-01-09
CUST004591,PROD001546,2,2025-01-07
CUST004591,PROD000986,1,2024-12-31
CUST007974,PROD001031,2,2024-11-12
CUST007974,PROD000786,3,2024-11-04
CUST007974,PROD000532,2,2024-11-08
CUST007797,PROD000884,5,2024-12-31
CUST007797,PROD001422,5,2025-01-01
CUST007797,PROD000806,1,2024-12-26
CUST007797,PROD001422,2,2025-01-05
CUST004256,PROD000410,3,2024-05-27
CUST004256,PROD001221,1,2024-05-30
CUST004256,PROD000644,3,2024-06-06
CUST004256,PROD000843,5,2024-06-02
CUST003953,PROD001536,2,2025-02-20
CUST003953,PROD000123,2,2025-02-27
CUST003953,PROD000988,4,2025-02-18
CUST003953,PROD001701,4,2025-02-24
CUST009941,PROD000762,5,2024-08-05
CUST009941,PROD000828,3,2024-07-23
CUST009317,PROD001015,1,2025-03-08
CUST009317,PROD001779,1,2025-03-12
CUST001318,PROD001928,2,2024-12-19
CUST003027,PROD000903,4,2025-01-02
CUST005327,PROD000666,5,2024-10-07
CUST005327,PROD000461,4,2024-10-06
CUST005327,PROD000328,2,2024-10-10
CUST005327,PROD000713,5,2024-10-16
CUST007033,PROD001688,5,2024-06-27
CUST007033,PROD001320,5,2024-06-28
CUST007033,PROD001002,5,2024-07-05
CUST006122,PROD000858,4,2024-06-08
CUST000356,PROD001219,1,2024-09-02
CUST000356,PROD001852,2,2024-08-25
CUST000534,PROD001841,2,2024-10-20
CUST000534,PROD000423,2,2024-10-19
CUST003707,PROD001656,2,2024-11-25
CUST003707,PROD001278,2,2024-11-16
